,title,subtitle,link
13,HAIRDRYER,Aston Villa women follow men in slamming new wet-look shirts ahead of WSL opener,https://www.thesun.co.uk/sport/24158831/aston-villa-stars-fume-kits-castore-oatley-women-fear/
14,,Ex-Arsenal physio reveals how medicals work as he recalls sale of injured star,https://www.thesun.co.uk/sport/24170668/arsenal-physio-gary-lewin-medicals-overmars-injury/
15,RAM RAID,Ramos victim of raid during Champ League duty as four kids at home during break-in,https://www.thesun.co.uk/sport/24161871/sergio-ramos-burglary-sevilla-champions-league/
16,MATCH OF THE PAY,Shearer and Lineker reveal shockingly low wages during playing careers,https://www.thesun.co.uk/sport/24165496/alan-shearer-gary-lineker-reveal-wages/
17,RED ALERT,Man Utd legend says Maguire would ‘walk into many teams’ as he questions critics,https://www.thesun.co.uk/sport/24167536/man-utd-ten-hag-harry-maguire-steve-bruce/
18,PICKING SIDES,Chelsea icon Shevchenko made aide to Zelensky as Vlad cosies up to Abramovich,https://www.thesun.co.uk/sport/24158352/chelsea-abramovich-shevchenko-zelensky-aide-putin/
19,'LIKE THE OLD DAYS',Utd fans delighted with 'so simple' midfield moment in win over Palace,https://www.thesun.co.uk/sport/24159022/man-utd-midfield-fans-delighted-garnacho-hannibal-mount-palace/
20,TAKING THE MIC,Gary Lineker in X-rated rant at Micah Richards days before Match of the Day,https://www.thesun.co.uk/sport/24160512/gary-lineker-micah-richards-covid/
21,CAH BLIMEY,"I knew I'd made it when I was taken to STRIP CLUB by agent, says Micah Richards",https://www.thesun.co.uk/sport/24166127/micah-richards-strip-club-agent-man-city/
22,GLOVEFILM,I saved a Lionel Messi penalty at the World Cup but now I'm a film director,https://www.thesun.co.uk/sport/24165300/hannes-halldorsson-iceland-messi-penalty/
23,HAN THE MAN,Man Utd fans rave about Hannibal as fiery youngster's incredible stats emerge,https://www.thesun.co.uk/sport/24168229/man-utd-hannibal-mejbri-stats-burnley/
24,'LOVE TO',Amrabat wants permanent Utd move after just one game following 'difficult' saga,https://www.thesun.co.uk/sport/24167646/sofyan-amrabat-permanent-man-utd-transfer-hope/
25,WELL DE ZERBED,Brighton boss Roberto de Zerbi 'emerges as shock Real Madrid manager target',https://www.thesun.co.uk/sport/24159161/brighton-roberto-de-zerbi-real-madrid-manager/
26,WIL POWER,Barcelona looking to raid CHAMPIONSHIP in shock transfer leaving fans confused,https://www.thesun.co.uk/sport/24160927/barcelona-championship-transfer-leicester-wilfred-ndidi/
27,MOR FOOL YOU,Piers Morgan blasts Ten Hag for 'humiliating' Man Utd with 'his own failings',https://www.thesun.co.uk/sport/24158981/piers-morgan-erik-ten-hag-man-utd/
28,CHAOS,Watch World Cup icon catch a phone thief while celebrating old club's win,https://www.thesun.co.uk/sport/24158473/uruguay-diego-lugano-west-brom-sao-paulo-phone-thief/
29,SER REAL?,Former Arsenal star Gnabry lined up for controversial return to Premier League,https://www.thesun.co.uk/sport/24160915/arsenal-serge-gnabry-man-utd-transfer/
30,GOT THAT DORG IN HIM,"Wonderkid Liverpool target, 18, reveals ‘Chelsea is my dream club’",https://www.thesun.co.uk/sport/24160111/chelsea-liverpol-transfer-news-patrick-dorgu/
