,title,subtitle,link
14,WELCOME OFFER,Get a £50 bonus when you spend £10 on Sun Vegas,https://www.thesun.co.uk/sun-bingo/23376227/welcome-offer-sun-vegas-bonus/
15,WELCOME OFFER,Get £30 in free bets for the football this weekend with talkSPORT BET,https://www.thesun.co.uk/sport/football/dream-team/23304459/talksportbet-free-bets-new-customers-betting-offer/
16,CARR BLIMEY,Ramsdale's dad slams 'disgraceful' Carragher after remarks about son's antics,https://www.thesun.co.uk/sport/24113548/aaron-ramsdale-dad-jamie-carragher-arsenal-raya/
17,MADD SCENES,Gruesome snap of Maddison's bent knee vs Arsenal emerges with fans left shocked,https://www.thesun.co.uk/sport/24109713/james-maddison-knee-injury-arsenal/
18,ARSENAL RATINGS,Jorginho has nightmare but Declan Rice imperious before getting injured,https://www.thesun.co.uk/sport/24109693/arsenal-player-ratings-jorginho-declan-rice/
19,BACK DOWN,Arteta issues worrying injury update on Rice as he reveals 'strange' situation,https://www.thesun.co.uk/sport/24109992/arsenal-declan-rice-injury-mikel-arteta/
20,WORSE TO COME,Chelsea fans fear they will be 'RELEGATED' with horror games lying in wait,https://www.thesun.co.uk/sport/24110149/chelsea-fans-relegated-fixture-list/
21,SHEFF UTD 0 NEWCASTLE 8,Blades suffer record home loss as EIGHT scorers net for Toon,https://www.thesun.co.uk/sport/24110243/sheff-utd-0-newcastle-8-paul-heckingbottom-record-defeat/
22,BRIGHTON 3 BOURNEMOUTH 1,Mitoma double sees Seagulls come from a goal down to beat Cherries,https://www.thesun.co.uk/sport/24093108/brighton-vs-bournemouth-live-score-result-premier-league/
23,LIVERPOOL 3 WEST HAM 1,"Salah, Nunez and Jota secure crucial Premier League win for Reds",https://www.thesun.co.uk/sport/24096663/liverpool-3-west-1-nunez-salah-van-dijk/
24,'A VOID IN OUR HEARTS',Sheffield United pay tribute to Maddy Cusack after tragic death,https://www.thesun.co.uk/sport/24107794/sheffield-united-tribute-maddy-cusack-newcastle-death/
